2023-08-13 12:31:37.417429 - Starting learning loop ...
==================================================================
2023-08-13 12:31:37.417429 - Using Framebuffer of: 1 frames	 and 	ReplayBufferSize: 100000
2023-08-13 13:44:33.524094 - Average Score: 21.00 Elapsed time: 1:12:58.407600
2023-08-13 13:44:46.080147 - Time between reward step: #	4388.662718057632
2023-08-13 13:44:46.080147 - Average Score: 22.00 Elapsed time: 1:13:10.954178
2023-08-13 13:44:48.279321 - Epoc #	2030	 22.569172859191895
2023-08-13 13:45:08.841416 - Epoc #	2040	 20.562094926834106
2023-08-13 13:45:13.975706 - Time between reward step: #	4416.558277130127
2023-08-13 13:45:13.975706 - Average Score: 23.00 Elapsed time: 1:13:38.858904
2023-08-13 13:45:18.928822 - Time between reward step: #	4421.511393070221
2023-08-13 13:45:18.928822 - Average Score: 24.00 Elapsed time: 1:13:43.803667
2023-08-13 13:45:25.710084 - Time between reward step: #	4428.29265499115
2023-08-13 13:45:25.710084 - Average Score: 25.00 Elapsed time: 1:13:50.593450
2023-08-13 13:45:31.833536 - Epoc #	2050	 22.992120027542114
2023-08-13 13:45:53.828491 - Epoc #	2060	 21.99495506286621
2023-08-13 13:46:17.643784 - Epoc #	2070	 23.815293073654175
2023-08-13 13:46:39.058139 - Epoc #	2080	 21.414355039596558
2023-08-13 13:47:02.563173 - Epoc #	2090	 23.50503396987915
2023-08-13 13:47:24.292300 - Epoc #	2100	 21.729126930236816
2023-08-13 13:47:46.863047 - Epoc #	2110	 22.570746898651123
2023-08-13 13:48:08.007396 - Epoc #	2120	 21.144349098205566
2023-08-13 13:48:29.007988 - Epoc #	2130	 21.00059199333191
2023-08-13 13:48:50.130580 - Epoc #	2140	 21.122591972351074
2023-08-13 13:49:11.032014 - Epoc #	2150	 20.90143394470215
2023-08-13 13:49:31.737754 - Epoc #	2160	 20.705740213394165
2023-08-13 13:49:54.049983 - Epoc #	2170	 22.31222891807556
2023-08-13 13:50:17.076386 - Epoc #	2180	 23.026402950286865
2023-08-13 13:50:38.582831 - Epoc #	2190	 21.506444931030273
2023-08-13 13:51:01.273949 - Epoc #	2200	 22.691118001937866
2023-08-13 13:51:23.043821 - Epoc #	2210	 21.769872188568115
2023-08-13 13:51:43.599132 - Epoc #	2220	 20.55531096458435
2023-08-13 13:52:05.754097 - Epoc #	2230	 22.154964923858643
2023-08-13 13:52:26.530518 - Epoc #	2240	 20.776421070098877
2023-08-13 13:52:50.771040 - Epoc #	2250	 24.240521907806396
2023-08-13 13:53:11.874402 - Epoc #	2260	 21.10336208343506
2023-08-13 13:53:33.719668 - Epoc #	2270	 21.845265865325928
2023-08-13 13:53:57.104962 - Epoc #	2280	 23.385294198989868
2023-08-13 13:54:18.201143 - Epoc #	2290	 21.09618091583252
2023-08-13 13:54:39.159584 - Epoc #	2300	 20.958441019058228
2023-08-13 13:55:02.337256 - Epoc #	2310	 23.177671909332275
2023-08-13 13:55:23.567429 - Epoc #	2320	 21.230173110961914
2023-08-13 13:55:46.254097 - Epoc #	2330	 22.686667919158936
2023-08-13 13:56:08.720769 - Epoc #	2340	 22.46667194366455
2023-08-13 13:56:31.194066 - Epoc #	2350	 22.473297119140625
2023-08-13 13:56:51.714052 - Epoc #	2360	 20.519985914230347
2023-08-13 13:57:12.907001 - Epoc #	2370	 21.192949056625366
2023-08-13 13:57:34.255505 - Epoc #	2380	 21.348504066467285
2023-08-13 13:57:56.004288 - Epoc #	2390	 21.748782873153687
2023-08-13 13:58:20.224332 - Epoc #	2400	 24.220044136047363
2023-08-13 13:58:42.339732 - Epoc #	2410	 22.115399837493896
2023-08-13 13:59:04.695040 - Epoc #	2420	 22.355308055877686
2023-08-13 13:59:25.673843 - Epoc #	2430	 20.978802919387817
2023-08-13 13:59:46.377176 - Epoc #	2440	 20.703333139419556
2023-08-13 14:00:09.249793 - Epoc #	2450	 22.87261700630188
2023-08-13 14:00:31.869720 - Epoc #	2460	 22.619926929473877
2023-08-13 14:00:53.130486 - Epoc #	2470	 21.26076602935791
2023-08-13 14:01:15.210915 - Epoc #	2480	 22.080429077148438
2023-08-13 14:01:35.377823 - Epoc #	2490	 20.166908025741577
2023-08-13 14:01:57.074621 - Epoc #	2500	 21.696797847747803
2023-08-13 14:02:18.738553 - Epoc #	2510	 21.66393208503723
2023-08-13 14:02:40.524192 - Epoc #	2520	 21.78563904762268
