2023-07-12 00:21:38.310010 - Starting learning loop ...
==================================================================
2023-07-12 00:21:38.310010 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-12 01:14:12.348323 - Epoc #	1480	 21.893010139465332
2023-07-12 01:14:32.759385 - Epoc #	1490	 20.411062002182007
2023-07-12 01:14:53.465037 - Epoc #	1500	 20.705651998519897
2023-07-12 01:15:14.994223 - Epoc #	1510	 21.529186010360718
2023-07-12 01:15:35.526013 - Epoc #	1520	 20.531789779663086
2023-07-12 01:15:56.806297 - Epoc #	1530	 21.28028416633606
2023-07-12 01:16:18.238636 - Epoc #	1540	 21.43233895301819
2023-07-12 01:16:38.961240 - Epoc #	1550	 20.722604036331177
2023-07-12 01:17:00.684132 - Epoc #	1560	 21.72289204597473
2023-07-12 01:17:20.654774 - Epoc #	1570	 19.97064185142517
2023-07-12 01:17:41.607500 - Epoc #	1580	 20.952726125717163
2023-07-12 01:18:02.144523 - Epoc #	1590	 20.537022829055786
2023-07-12 01:18:25.097834 - Epoc #	1600	 22.95331120491028
2023-07-12 01:18:46.243497 - Epoc #	1610	 21.145662784576416
2023-07-12 01:19:09.868486 - Epoc #	1620	 23.62498903274536
2023-07-12 01:19:29.998724 - Epoc #	1630	 20.13023805618286
2023-07-12 01:19:51.425536 - Epoc #	1640	 21.426811933517456
2023-07-12 01:20:12.774315 - Epoc #	1650	 21.34877920150757
2023-07-12 01:20:33.760412 - Epoc #	1660	 20.98609685897827
2023-07-12 01:20:54.865778 - Epoc #	1670	 21.105365991592407
2023-07-12 01:21:15.343140 - Epoc #	1680	 20.477361917495728
2023-07-12 01:21:36.084569 - Epoc #	1690	 20.741429090499878
2023-07-12 01:21:58.281262 - Epoc #	1700	 22.196692943572998
2023-07-12 01:22:20.685897 - Epoc #	1710	 22.404635190963745
2023-07-12 01:22:41.843750 - Epoc #	1720	 21.1578528881073
2023-07-12 01:23:05.088545 - Epoc #	1730	 23.244795083999634
2023-07-12 01:23:26.878157 - Epoc #	1740	 21.78961181640625
2023-07-12 01:23:48.460337 - Epoc #	1750	 21.58218002319336
2023-07-12 01:24:10.104617 - Epoc #	1760	 21.644280195236206
2023-07-12 01:24:32.493114 - Epoc #	1770	 22.38849687576294
2023-07-12 01:24:53.624600 - Epoc #	1780	 21.13148593902588
2023-07-12 01:25:14.977006 - Epoc #	1790	 21.35240602493286
2023-07-12 01:25:36.089102 - Epoc #	1800	 21.112096071243286
2023-07-12 01:25:57.200093 - Epoc #	1810	 21.11099100112915
2023-07-12 01:26:18.030312 - Epoc #	1820	 20.83021903038025
2023-07-12 01:26:38.619033 - Epoc #	1830	 20.58872103691101
2023-07-12 01:26:59.597674 - Epoc #	1840	 20.97864079475403
2023-07-12 01:27:21.037500 - Epoc #	1850	 21.439826011657715
2023-07-12 01:27:41.612729 - Epoc #	1860	 20.575229167938232
2023-07-12 01:28:04.729884 - Epoc #	1870	 23.117154836654663
2023-07-12 01:28:25.969009 - Epoc #	1880	 21.23912501335144
2023-07-12 01:28:46.809341 - Epoc #	1890	 20.84033203125
2023-07-12 01:29:07.834912 - Epoc #	1900	 21.02557110786438
2023-07-12 01:29:29.725659 - Epoc #	1910	 21.89074683189392
2023-07-12 01:29:51.741879 - Epoc #	1920	 22.016220092773438
2023-07-12 01:30:12.806835 - Epoc #	1930	 21.064955949783325
2023-07-12 01:30:33.965617 - Epoc #	1940	 21.15878200531006
2023-07-12 01:30:54.670989 - Epoc #	1950	 20.705372095108032
2023-07-12 01:31:15.935680 - Epoc #	1960	 21.26469087600708
2023-07-12 01:31:36.979120 - Epoc #	1970	 21.043440103530884
2023-07-12 01:31:59.831854 - Epoc #	1980	 22.852734088897705
2023-07-12 01:32:21.433090 - Epoc #	1990	 21.60123586654663
2023-07-12 01:32:43.642152 - Epoc #	2000	 22.209062099456787
2023-07-12 01:33:05.088731 - Epoc #	2010	 21.446578979492188
2023-07-12 01:33:25.993353 - Epoc #	2020	 20.904621839523315
2023-07-12 01:33:47.027542 - Epoc #	2030	 21.034189224243164
2023-07-12 01:34:08.932890 - Epoc #	2040	 21.90534782409668
2023-07-12 01:34:29.876151 - Epoc #	2050	 20.94326114654541
2023-07-12 01:34:52.692147 - Epoc #	2060	 22.815995931625366
2023-07-12 01:35:14.244794 - Epoc #	2070	 21.55264687538147
2023-07-12 01:35:35.865172 - Epoc #	2080	 21.620378017425537
2023-07-12 01:35:57.058619 - Epoc #	2090	 21.19344711303711
2023-07-12 01:36:18.478809 - Epoc #	2100	 21.42019009590149
2023-07-12 01:36:39.946784 - Epoc #	2110	 21.46797490119934
2023-07-12 01:37:02.359411 - Epoc #	2120	 22.41262698173523
2023-07-12 01:37:23.381754 - Epoc #	2130	 21.022342920303345
2023-07-12 01:37:44.682569 - Epoc #	2140	 21.300815105438232
2023-07-12 01:38:07.466297 - Epoc #	2150	 22.783727884292603
2023-07-12 01:38:29.405840 - Epoc #	2160	 21.93954300880432
2023-07-12 01:38:50.573718 - Epoc #	2170	 21.16787815093994
2023-07-12 01:39:10.813781 - Epoc #	2180	 20.240062952041626
2023-07-12 01:39:32.094056 - Epoc #	2190	 21.280274868011475
2023-07-12 01:39:54.090982 - Epoc #	2200	 21.996926069259644
2023-07-12 01:40:15.412377 - Epoc #	2210	 21.3213951587677
2023-07-12 01:40:37.171932 - Epoc #	2220	 21.759554862976074
2023-07-12 01:40:58.444571 - Epoc #	2230	 21.27263903617859
2023-07-12 01:41:22.045257 - Epoc #	2240	 23.600686073303223
2023-07-12 01:41:43.559614 - Epoc #	2250	 21.51435685157776
2023-07-12 01:42:04.732640 - Epoc #	2260	 21.173026084899902
2023-07-12 01:42:25.901709 - Epoc #	2270	 21.169069051742554
2023-07-12 01:42:47.117523 - Epoc #	2280	 21.215813875198364
2023-07-12 01:43:07.782542 - Epoc #	2290	 20.665019035339355
2023-07-12 01:43:31.354044 - Epoc #	2300	 23.571501970291138
2023-07-12 01:43:52.645663 - Epoc #	2310	 21.291619062423706
2023-07-12 01:44:17.197447 - Epoc #	2320	 24.5517840385437
2023-07-12 01:44:40.670190 - Epoc #	2330	 23.472743034362793
2023-07-12 01:45:03.129866 - Epoc #	2340	 22.459675788879395
2023-07-12 01:45:25.660998 - Epoc #	2350	 22.531132221221924
2023-07-12 01:45:47.023364 - Epoc #	2360	 21.36236596107483
2023-07-12 01:46:09.215083 - Epoc #	2370	 22.191718816757202
2023-07-12 01:46:31.261905 - Epoc #	2380	 22.04682207107544
2023-07-12 01:46:52.079398 - Epoc #	2390	 20.817492961883545
2023-07-12 01:47:15.348680 - Epoc #	2400	 23.26928210258484
2023-07-12 01:47:36.197472 - Epoc #	2410	 20.84879207611084
2023-07-12 01:47:57.596974 - Epoc #	2420	 21.39950180053711
2023-07-12 01:48:20.576136 - Epoc #	2430	 22.979162216186523
2023-07-12 01:48:41.689806 - Epoc #	2440	 21.113669872283936
2023-07-12 01:49:03.546153 - Epoc #	2450	 21.85634708404541
2023-07-12 01:49:24.602595 - Epoc #	2460	 21.05644202232361
2023-07-12 01:49:45.289499 - Epoc #	2470	 20.686903953552246
2023-07-12 01:50:06.317628 - Epoc #	2480	 21.02812886238098
2023-07-12 01:50:27.581153 - Epoc #	2490	 21.263525009155273
2023-07-12 01:50:48.016608 - Epoc #	2500	 20.435455083847046
2023-07-12 01:51:09.938455 - Epoc #	2510	 21.921847105026245
2023-07-12 01:51:31.797492 - Epoc #	2520	 21.859036922454834
2023-07-12 01:51:54.429845 - Epoc #	2530	 22.63235306739807
2023-07-12 01:52:15.827772 - Epoc #	2540	 21.397926807403564
2023-07-12 01:52:36.975091 - Epoc #	2550	 21.147319078445435
2023-07-12 01:52:57.723866 - Epoc #	2560	 20.748775005340576
2023-07-12 01:53:20.414261 - Epoc #	2570	 22.69039511680603
2023-07-12 01:53:42.326810 - Epoc #	2580	 21.912548780441284
2023-07-12 01:54:04.206837 - Epoc #	2590	 21.880027055740356
2023-07-12 01:54:26.998070 - Epoc #	2600	 22.79123306274414
2023-07-12 01:54:47.693336 - Epoc #	2610	 20.695266008377075
2023-07-12 01:55:08.584250 - Epoc #	2620	 20.89091396331787
2023-07-12 01:55:30.748260 - Epoc #	2630	 22.164010047912598
2023-07-12 01:55:51.490395 - Epoc #	2640	 20.742135047912598
2023-07-12 01:56:13.786939 - Epoc #	2650	 22.296543836593628
2023-07-12 01:56:35.482077 - Epoc #	2660	 21.695137977600098
2023-07-12 01:56:56.660947 - Epoc #	2670	 21.17887020111084
2023-07-12 01:57:17.981612 - Epoc #	2680	 21.320664882659912
2023-07-12 01:57:39.348798 - Epoc #	2690	 21.367186069488525
2023-07-12 01:58:01.372789 - Epoc #	2700	 22.023990869522095
2023-07-12 01:58:22.224316 - Epoc #	2710	 20.851526975631714
2023-07-12 01:58:43.310201 - Epoc #	2720	 21.085885047912598
2023-07-12 01:59:03.552322 - Epoc #	2730	 20.24212098121643
2023-07-12 01:59:25.388217 - Epoc #	2740	 21.83589506149292
2023-07-12 01:59:46.911985 - Epoc #	2750	 21.523767948150635
2023-07-12 02:00:08.233074 - Epoc #	2760	 21.321089029312134
2023-07-12 02:00:30.537250 - Epoc #	2770	 22.304176092147827
2023-07-12 02:00:50.935685 - Epoc #	2780	 20.39843487739563
2023-07-12 02:01:12.526269 - Epoc #	2790	 21.59058403968811
2023-07-12 02:01:34.580899 - Epoc #	2800	 22.054630041122437
2023-07-12 02:01:55.667161 - Epoc #	2810	 21.086261987686157
2023-07-12 02:02:16.175307 - Epoc #	2820	 20.508146047592163
2023-07-12 02:02:37.700514 - Epoc #	2830	 21.525207042694092
2023-07-12 02:02:58.553184 - Epoc #	2840	 20.852669954299927
2023-07-12 02:03:19.623432 - Epoc #	2850	 21.070247888565063
2023-07-12 02:03:40.490946 - Epoc #	2860	 20.86751413345337
2023-07-12 02:04:01.548287 - Epoc #	2870	 21.05734086036682
2023-07-12 02:04:22.399014 - Epoc #	2880	 20.850727081298828
2023-07-12 02:04:43.765368 - Epoc #	2890	 21.36635398864746
2023-07-12 02:05:06.384511 - Epoc #	2900	 22.61914300918579
2023-07-12 02:05:27.143042 - Epoc #	2910	 20.758531093597412
2023-07-12 02:05:48.104252 - Epoc #	2920	 20.961210012435913
2023-07-12 02:06:09.715523 - Epoc #	2930	 21.611270904541016
2023-07-12 02:06:30.550195 - Epoc #	2940	 20.83467197418213
2023-07-12 02:06:50.807605 - Epoc #	2950	 20.257410049438477
2023-07-12 02:07:11.175839 - Epoc #	2960	 20.368233919143677
2023-07-12 02:07:32.043423 - Epoc #	2970	 20.867583990097046
2023-07-12 02:07:52.534325 - Epoc #	2980	 20.490901947021484
